C2H2             1   221.400    4.078    0.000    0.000    2.500 !L-J FROM MOURITS 1977 (MANI 2010)
C2H3             1   221.400    4.078    0.000    0.000    2.500 !L-J FROM MOURITS 1977 (MANI 2010)
C2H4             1   225.600    4.155    0.000    0.000    1.500 !!L-J FROM MOURITS 1977 (MANI 2010)
C2H5             1   225.600    4.155    0.000    0.000    1.500 !!L-J FROM MOURITS 1977 (MANI 2010)
C2H5O            2   470.600    4.410    0.000    0.000    1.500 ! NMM
C2H6             2   227.900    4.407    0.000    0.000    1.500 ! !L-J FROM MOURITS 1977 (MANI 2010)
C2H3CO           2   443.200    4.120    0.000    0.000    1.000 ! NMM
CH3COCH2         2   435.500    4.860    0.000    0.000    1.000 ! NMM
C3H4-A           1   284.700    4.667    0.000    0.000    1.000 !!L-J FROM MOURITS 1977 (MANI 2010)
C3H6             1   271.200    4.778    0.000    0.000    1.000 !!L-J FROM MOURITS 1977 (MANI 2010)
C3H5O            2   411.000    4.820    0.000    0.000    1.000 ! NMM
C4H6             2   350.400    4.984    0.000    0.000    1.000 !  WJP:  1,3 BUTADIENE, TCPC, POLING 4TH ED.
NC3H7            2   303.400    4.810    0.000    0.000    1.000 ! NMM
C3H8             2   237.200    5.114    0.000    0.000    1.000 ! !L-J FROM MOURITS 1977 (MANI 2010)
C4H71-3          2   355.000    4.650    0.000    0.000    1.000 ! NMM
C4H8-1           1   302.400    5.274    0.000    0.000    1.000 !!L-J FROM MOURITS 1977 (MANI 2010)
PC4H9            1   305.000    5.405    0.000    0.000    1.000 !   !L-J FROM MOURITS 1977 (MANI 2010)
PC4H9O2          2   496.000    5.200    0.000    0.000    1.000 ! WJP
C4H8OOH1-3       2   496.000    5.200    0.000    0.000    1.000 ! WJP
C4H8OOH1-3O2     2   496.000    5.200    0.000    0.000    1.000 ! WJP
C4H7O            2   496.000    5.200    0.000    0.000    1.000 ! NMM
C3H5-A           2   316.000    4.220    0.000    0.000    1.000 
CH2CO            2   314.300    4.191    1.400    0.000    2.000 !  WJP:  KETENE, TCPC, POLING 4TH ED. ROT NO. FROM CHEMKIN TRANPORT DATABASE
C2H3O1-2         2   436.000    3.970    0.000    0.000    2.000 ! WJP SAME AS CH2CO
CH2O             2   498.000    3.590    0.000    0.000    2.000 
CH2CHO           2   436.000    3.970    0.000    0.000    2.000 
CH3              1   144.000    3.800    0.000    0.000    0.000 
CH3CHO           2   436.000    3.970    0.000    0.000    2.000 
CH3CO            2   436.000    3.970    0.000    0.000    2.000 
CH3O             2   417.000    3.690    1.700    0.000    2.000 
