#SpecName      Dummy     eps/k     sigma     Dummy     Dummy     Dummy
N2                 0    97.530     3.621     0.000     0.000     0.000
O2                 0   107.400     3.458     0.000     0.000     0.000
H                  0   145.000     2.050     0.000     0.000     0.000
OH                 0    80.000     2.750     0.000     0.000     0.000
O                  0    80.000     2.750     0.000     0.000     0.000
H2                 0    38.000     2.920     0.000     0.000     0.000
H2O                0   572.400     2.605     0.000     0.000     0.000
HO2                0   107.400     3.458     0.000     0.000     0.000
H2O2               0   107.400     3.458     0.000     0.000     0.000
CO                 0    98.100     3.650     0.000     0.000     0.000
CO2                0   244.000     3.763     0.000     0.000     0.000
CH                 0    80.000     2.750     0.000     0.000     0.000
HCO                0   498.000     3.590     0.000     0.000     0.000
CH2OH              0   272.411     3.834     0.000     0.000     0.000
TXCH2              0   141.400     3.746     0.000     0.000     0.000
C2H2               0   209.000     4.100     0.000     0.000     0.000
CH3                0   141.400     3.746     0.000     0.000     0.000
C2H4               0   243.000     4.050     0.000     0.000     0.000
PXCH2              0   141.400     3.746     0.000     0.000     0.000
CH2O               0   498.000     3.590     0.000     0.000     0.000
CH4                0   141.400     3.746     0.000     0.000     0.000
CH3O               0   417.000     3.690     0.000     0.000     0.000
C2H6               0   246.000     4.320     0.000     0.000     0.000
HCCO               0   436.000     3.970     0.000     0.000     0.000
C2H3               0   209.000     4.100     0.000     0.000     0.000
C2H5               0   246.000     4.320     0.000     0.000     0.000
C3H4               0   373.300     4.424     0.000     0.000     0.000
C3H5               0   373.300     4.424     0.000     0.000     0.000
C3H6               0   266.800     4.982     0.000     0.000     0.000
NXC3H7             0   329.514     4.272     0.000     0.000     0.000
PXC4H8             0   384.039     4.661     0.000     0.000     0.000
PXC4H9             0   388.026     4.689     0.000     0.000     0.000
PXC5H11            0   357.000     5.176     0.000     0.000     0.000
C6H11              0   482.473     5.307     0.000     0.000     0.000
PXC6H12            0   485.857     5.328     0.000     0.000     0.000
PXC7H15            0   357.000     5.176     0.000     0.000     0.000
SXC7H15            0   357.000     5.176     0.000     0.000     0.000
C7H16              0   357.000     5.176     0.000     0.000     0.000
PC7H15O2           0   357.000     5.176     0.000     0.000     0.000
PHEOOHX2           0   357.000     5.176     0.000     0.000     0.000
SOO7OOH1           0   713.380     6.630     0.000     0.000     0.000
PX2HEOOH           0   713.380     6.630     0.000     0.000     0.000
OC7OOH             0   357.000     5.176     0.000     0.000     0.000
PX2HEPOO           0   622.932     6.138     0.000     0.000     0.000
N                  0   71.4        3.3       0.0       0.0       0.0
NO                 1   97.5        3.62      0.0       1.76      4.0
